供应商编码,单据类型编码,存储类型,库位定位分类,供应商简称,单据类型名称,描述
L21538,IN-002,-,退货区,湖南机油泵,退货入库单,
L20020,IN-002,-,退货区,成都西菱,退货入库单,
L70014,IN-002,-,退货区,费尔特兰,退货入库单,
L21554,IN-001,-,L21554_上架托盘高架区,十堰市郧齿,正常入库单,
L21119,IN-001,-,L21119_上架托盘高架区,南京宏佳,正常入库单,
L21975,IN-001,-,L21975_上架托盘高架区,江西凯富勤,正常入库单,
L21918,IN-002,-,退货区,盖茨优霓塔,退货入库单,
L21802,IN-002,-,退货区,浙江明泰,退货入库单,
L21957,IN-002,-,退货区,重庆云海,退货入库单,
L20059,IN-001,-,L20059_上架托盘高架区,河南西峡,正常入库单,
L21979,IN-002,-,退货区,无锡惠山,退货入库单,
L20010,IN-001,-,公共库位,上海皮尔博格,正常入库单,
L21115,IN-002,-,退货区,华纳圣龙,退货入库单,
L20075,IN-002,-,退货区,四川航天,退货入库单,
L20039,IN-001,-,公共库位,宁海海裕,正常入库单,
L21350,IN-001,-,L21350_上架托盘高架区,浙江骏和,正常入库单,
L21578,IN-002,-,退货区,博世汽车,退货入库单,
-,IN-003,-,越库,-,-,-
